@RELATION Multiple-Motif-GPCR-Pfam
@ATTRIBUTE pf00001 {1,0}
@ATTRIBUTE pf00091 {1,0}
@ATTRIBUTE pf03953 {1,0}
@ATTRIBUTE pf03827 {1,0}
@ATTRIBUTE pf00560 {1,0}
@ATTRIBUTE pf01462 {1,0}
@ATTRIBUTE pf02162 {1,0}
@ATTRIBUTE pf00057 {1,0}
@ATTRIBUTE pf00002 {1,0}
@ATTRIBUTE pf02793 {1,0}
@ATTRIBUTE pf00008 {1,0}
@ATTRIBUTE pf01825 {1,0}
@ATTRIBUTE pf07645 {1,0}
@ATTRIBUTE pf00059 {1,0}
@ATTRIBUTE pf02140 {1,0}
@ATTRIBUTE pf02354 {1,0}
@ATTRIBUTE pf02191 {1,0}
@ATTRIBUTE pf00090 {1,0}
@ATTRIBUTE pf06652 {1,0}
@ATTRIBUTE pf00028 {1,0}
@ATTRIBUTE pf00053 {1,0}
@ATTRIBUTE pf00054 {1,0}
@ATTRIBUTE pf02210 {1,0}
@ATTRIBUTE pf01740 {1,0}
@ATTRIBUTE pf00916 {1,0}
@ATTRIBUTE pf00003 {1,0}
@ATTRIBUTE pf01094 {1,0}
@ATTRIBUTE pf07562 {1,0}
@ATTRIBUTE pf01352 {1,0}
@ATTRIBUTE pf00075 {1,0}
@ATTRIBUTE pf00078 {1,0}
@ATTRIBUTE pf03131 {1,0}
@ATTRIBUTE pf00084 {1,0}
@ATTRIBUTE pf00287 {1,0}
@ATTRIBUTE pf02608 {1,0}
@ATTRIBUTE pf02076 {1,0}
@ATTRIBUTE pf02116 {1,0}
@ATTRIBUTE pf05462 {1,0}
@ATTRIBUTE pf02101 {1,0}
@ATTRIBUTE pf01534 {1,0}
@ATTRIBUTE pf01392 {1,0}
@ATTRIBUTE pf02949 {1,0}
@ATTRIBUTE pf06151 {1,0}
@ATTRIBUTE pf03094 {1,0}
@ATTRIBUTE pf01461 {1,0}
@ATTRIBUTE pf00646 {1,0}
@ATTRIBUTE pf04145 {1,0}
@ATTRIBUTE pf01827 {1,0}
@ATTRIBUTE pf01604 {1,0}
@ATTRIBUTE pf01030 {1,0}
@ATTRIBUTE pf07716 {1,0}
@ATTRIBUTE pf06681 {1,0}
@ATTRIBUTE pf03402 {1,0}
@ATTRIBUTE pf05296 {1,0}
@ATTRIBUTE pf03375 {1,0}
@ATTRIBUTE pf06976 {1,0}
@ATTRIBUTE pf02695 {1,0}
@ATTRIBUTE pf00069 {1,0}
@ATTRIBUTE pf01390 {1,0}
@ATTRIBUTE pf00047 {1,0}
@ATTRIBUTE pf01463 {1,0}
@ATTRIBUTE pf00354 {1,0}
@ATTRIBUTE pf00431 {1,0}
@ATTRIBUTE pf03160 {1,0}
@ATTRIBUTE pf00024 {1,0}
@ATTRIBUTE pf03547 {1,0}
@ATTRIBUTE pf00610 {1,0}
@ATTRIBUTE pf03736 {1,0}
@ATTRIBUTE pf02117 {1,0}
@ATTRIBUTE pf01504 {1,0}
@ATTRIBUTE pf06237 {1,0}
@ATTRIBUTE pf03125 {1,0}
@ATTRIBUTE pf01036 {1,0}
@ATTRIBUTE MW Real
@ATTRIBUTE SL Real
@attribute class {R.001.001.001,R.001.001,R.001,R.001.001.001.003,R.001.001.002.001,R.001.001.002,R.001.001.002.002,R.001.001.003.001,R.001.001.003,R.001.001.003.002,R.001.001.003.201,R.001.001.004.001,R.001.001.004,R.001.001.004.003,R.001.001.005.001,R.001.001.005,R.001.001.005.002,R.001.001.005.999,R.001.001.006,R.001.001.007,R.001.002.001.001,R.001.002.001,R.001.002,R.001.002.002,R.001.002.003,R.001.002.004,R.001.002.005,R.001.002.007.002,R.001.002.007,R.001.002.007.003,R.001.002.008.001,R.001.002.008,R.001.002.008.002,R.001.002.009.002,R.001.002.009,R.001.002.010,R.001.002.011.001,R.001.002.011,R.001.002.011.002,R.001.002.011.003,R.001.002.014,R.001.002.014.999,R.001.002.016,R.001.002.016.003,R.001.002.016.004,R.001.002.017,R.001.002.018.001,R.001.002.018,R.001.002.018.002,R.001.002.020.001,R.001.002.020,R.001.002.020.002,R.001.002.021.001,R.001.002.021,R.001.002.022.002,R.001.002.022,R.001.002.023.001,R.001.002.023,R.001.002.027.001,R.001.002.027,R.001.002.028.001,R.001.002.028,R.001.002.028.002,R.001.002.031,R.001.002.999,R.001.003.001,R.001.003,R.001.003.003,R.001.004.001.001,R.001.004.001,R.001.004,R.001.004.001.002,R.001.004.001.003,R.001.004.001.004,R.001.004.001.005,R.001.004.101.001,R.001.004.101,R.001.004.101.002,R.001.004.999,R.001.005.001,R.001.005,R.001.005.002,R.001.005.003,R.001.005.004,R.001.005.005,R.001.005.006,R.001.005.007,R.001.005.008,R.001.005.009,R.001.005.010,R.001.005.011,R.001.005.012,R.001.005.013,R.001.005.099,R.001.005.101,R.001.005.102,R.001.005.103,R.001.006,R.001.006.001.002,R.001.006.001,R.001.006.001.003,R.001.006.001.004,R.001.006.001.005,R.001.007.001.001,R.001.007.001,R.001.007,R.001.007.001.002,R.001.007.002.001,R.001.007.002,R.001.007.002.002,R.001.007.002.003,R.001.008,R.001.010.001,R.001.010,R.001.010.002,R.001.011.001,R.001.011,R.001.012,R.001.013,R.001.014,R.001.014.002,R.001.999.001,R.001.999,R.001.999.003,R.001.999.007,R.001.999.008,R.001.999.009,R.001.999.010,R.001.999.013,R.002.001,R.002,R.002.002,R.002.004,R.002.005,R.002.006,R.002.007,R.002.009,R.002.011,R.002.012,R.002.012.002,R.002.013,R.003.001.001,R.003.001,R.003,R.003.001.002,R.003.001.003,R.003.002.001,R.003.002,R.003.003,R.003.004,R.003.004.002,R.003.008,R.007.001.001,R.007.001,R.007,R.007.001.002,R.007.001.003,R.007.002,R.011.001,R.011,R.011.002,R.011.003,R.011.005,R.011.007,R.011.008,R.011.009,R.099.001,R.099,R.099.002,R.195.001,R.195,R.195.003}
@DATA
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51421, 460,R.001.001.001
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51433, 460,R.001.001.001
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51329, 460,R.001.001.001
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51419, 460,R.001.001.001
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51369, 460,R.001.001.001
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51321, 460,R.001.001.001
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50748, 454,R.001.001.001
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51565, 466,R.001.001.001
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51715, 466,R.001.001.001
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51515, 466,R.001.001.001
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51673, 466,R.001.001.001
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51539, 466,R.001.001.001
